,Start_blink,End_blink,Blink_frame,No_of_frames
0,5,23,8,18
1,79,85,82,6
2,113,117,115,4
3,224,231,227,7
4,265,282,268,17
5,583,588,585,5
6,602,613,605,11
7,1119,1126,1121,7
8,1156,1244,1159,88
9,1434,1473,1436,39
10,1821,1843,1824,22
11,1967,2023,1970,56
12,2453,2506,2456,53
13,2607,2617,2609,10
14,2781,2852,2783,71
15,3149,3197,3149,48
16,3661,3669,3663,8
17,3874,3892,3874,18
18,4841,4847,4843,6
19,4952,4965,4955,13
20,4982,4989,4984,7
21,5043,5070,5046,27
22,5107,5149,5110,42
23,5207,5261,5207,54
24,5270,5389,5270,119
25,5390,5393,5390,3
26,5463,5469,5466,6
27,5704,5714,5706,10
28,5739,5756,5742,17
29,5784,5791,5787,7
30,5820,5881,5820,61
31,5913,5926,5914,13
32,6034,6040,6036,6
33,6075,6088,6075,13
34,6089,6094,6089,5
35,6117,6124,6119,7
36,6198,6212,6200,14
37,6253,6259,6256,6
38,6376,6383,6379,7
39,6632,6641,6635,9
40,6664,6669,6666,5
41,6698,6705,6700,7
42,6736,6754,6738,18
43,6804,6810,6806,6
44,6887,6894,6887,7
45,6956,6988,6959,32
46,7069,7108,7071,39
47,7227,7253,7227,26
48,7254,7256,7254,2
49,7271,7278,7274,7
50,8059,8066,8061,7
51,8121,8135,8125,14
52,8222,8232,8224,10
53,8266,8276,8269,10
54,8284,8290,8286,6
55,8329,8354,8332,25
56,8378,8383,8380,5
57,8404,8518,8407,114
58,8530,8538,8532,8
59,9006,9018,9009,12
60,9042,9189,9044,147
61,9211,9230,9214,19
62,9254,9299,9254,45
63,9786,9792,9788,6
64,9870,9881,9873,11
65,10492,10502,10494,10
66,10772,10778,10774,6
67,11000,11008,11002,8
68,11062,11100,11065,38
69,11101,11133,11101,32
70,12327,12337,12330,10
71,12778,12785,12779,7
72,12907,12920,12907,13
73,13417,13421,13417,4
74,13479,13588,13479,109
75,13653,13672,13654,19
76,14219,14225,14221,6
77,14550,14618,14551,68
78,14628,14634,14631,6
79,15397,15404,15400,7
80,15495,15498,15495,3
81,16358,16367,16361,9
82,16685,16703,16687,18
83,16800,16815,16803,15
84,16932,16940,16935,8
85,17316,17333,17316,17
86,17432,17917,17432,485
87,17918,17926,17918,8
88,18010,18028,18012,18
89,18378,18386,18381,8
90,18424,18432,18427,8
91,18617,18625,18620,8
92,19017,19055,19019,38
93,19056,19060,19056,4
94,19089,19124,19090,35
95,19125,19147,19125,22
96,19183,19194,19183,11
97,19207,19214,19210,7
98,19235,19263,19235,28
99,19298,19333,19299,35
100,19504,19565,19507,61
101,19580,19586,19581,6
102,19698,19728,19701,30
103,19909,19915,19912,6
104,19924,19932,19927,8
105,20775,20796,20778,21
106,21968,21972,21970,4
107,21998,22018,21998,20
108,22019,22023,22019,4
109,22040,22042,22040,2
110,22146,22162,22149,16
111,22309,22328,22311,19
112,22601,22606,22602,5
113,22675,22680,22677,5
114,22847,22879,22850,32
115,23079,23085,23082,6
116,23232,23276,23235,44
117,23469,23484,23471,15
118,24508,24520,24511,12
119,24599,24605,24602,6
120,24677,24682,24679,5
121,24696,24714,24699,18
122,24727,24750,24729,23
123,24818,24823,24820,5
124,24847,24851,24849,4
125,25261,25267,25264,6
126,25338,25345,25341,7
127,25447,25455,25450,8
128,25594,25599,25594,5
129,26138,26156,26141,18
130,26378,26411,26380,33
131,26628,26703,26629,75
132,26753,26768,26756,15
133,26834,26854,26837,20
134,26901,26913,26903,12
135,27047,27060,27050,13
136,27121,27162,27124,41
137,27181,27187,27184,6
138,27212,27241,27212,29
139,27488,27574,27489,86
140,27575,27579,27575,4
141,27730,27736,27732,6
142,27754,27759,27757,5
143,27791,27983,27791,192
144,27984,27989,27984,5
145,28885,28892,28887,7
146,28985,29051,28986,66
147,29052,29055,29052,3
148,29171,29178,29173,7
149,29202,29206,29204,4
150,29242,29385,29245,143
151,29449,29476,29450,27
152,29588,29601,29591,13
153,29630,29841,29630,211
154,30187,30208,30189,21
155,30262,30267,30264,5
156,30296,30302,30299,6
157,30321,30325,30323,4
158,30344,30420,30346,76
159,30951,30964,30953,13
160,31227,31248,31227,21
161,31334,31382,31336,48
162,31391,31397,31394,6
163,31487,31492,31489,5
164,31509,31518,31511,9
165,31640,31665,31642,25
166,31725,31735,31727,10
167,31802,31853,31805,51
168,31911,31925,31911,14
169,31926,31952,31926,26
170,32316,32323,32318,7
171,32876,32885,32879,9
172,33096,33119,33099,23
173,33149,33157,33151,8
174,33178,33184,33180,6
175,33250,33271,33250,21
176,33289,33318,33289,29
177,33322,33328,33324,6
178,33668,33674,33668,6
179,34230,34235,34233,5
180,34702,34706,34704,4
181,34732,35000,34732,268
182,35001,35010,35001,9
183,35070,35077,35072,7
184,35123,35148,35126,25
185,35326,35334,35328,8
186,35377,35388,35377,11
187,35389,35425,35389,36
188,36203,36209,36206,6
189,36244,36251,36246,7
190,36322,36349,36324,27
191,36454,36519,36454,65
192,36520,36525,36520,5
193,36958,36972,36961,14
194,37030,37266,37030,236
195,37699,37706,37699,7
196,37712,37719,37714,7
197,37758,37763,37760,5
198,37881,37899,37881,18
199,37900,37904,37900,4
200,38155,38157,38155,2
