,Start_blink,End_blink,Blink_frame,No_of_frames
0,6,10,8,4
1,22,28,25,6
2,50,57,50,7
3,156,173,156,17
4,201,212,201,11
5,228,237,231,9
6,290,309,290,19
7,310,314,310,4
8,330,336,333,6
9,365,388,366,23
10,429,441,432,12
11,497,504,500,7
12,542,547,545,5
13,583,589,586,6
14,643,666,644,23
15,667,669,667,2
16,729,733,729,4
17,744,750,747,6
18,809,819,809,10
19,842,850,844,8
20,861,876,864,15
21,981,990,984,9
22,1335,1339,1337,4
23,1498,1510,1501,12
24,1540,1567,1542,27
25,1585,1596,1588,11
26,1658,1674,1658,16
27,1675,1681,1675,6
28,1720,1723,1720,3
29,1737,1763,1738,26
30,1764,1767,1764,3
31,1940,1943,1940,3
32,1959,1985,1962,26
33,2049,2062,2052,13
34,2113,2118,2113,5
35,2170,2176,2173,6
36,2326,2333,2326,7
37,2531,2569,2531,38
38,2595,2616,2595,21
39,3092,3104,3092,12
40,3358,3364,3360,6
41,3394,3400,3397,6
42,3446,3452,3446,6
43,3524,3531,3526,7
44,3618,3622,3618,4
45,3714,3728,3714,14
46,3955,3962,3955,7
47,4015,4026,4016,11
48,4095,4101,4098,6
49,4139,4147,4141,8
50,4187,4192,4190,5
51,4270,4281,4272,11
52,4326,4333,4327,7
53,4429,4434,4429,5
54,4489,4500,4491,11
55,4572,4582,4574,10
56,4708,4774,4708,66
57,4848,4889,4848,41
58,4988,5004,4988,16
59,5086,5097,5089,11
60,5130,5134,5132,4
61,5166,5175,5169,9
62,5212,5218,5214,6
63,5286,5292,5289,6
64,5379,5397,5381,18
65,5589,5596,5590,7
66,5947,5955,5949,8
67,6020,6037,6023,17
68,6112,6131,6112,19
69,6199,6205,6199,6
70,6243,6251,6246,8
71,6313,6320,6315,7
72,6345,6359,6346,14
73,6573,6588,6576,15
74,6611,6628,6613,17
75,7035,7042,7038,7
76,7138,7143,7139,5
77,7165,7273,7165,108
78,7274,7288,7274,14
79,7353,7358,7356,5
80,7418,7426,7421,8
81,7485,7495,7486,10
82,7539,7549,7542,10
83,7604,7612,7607,8
84,7718,7724,7718,6
85,7791,7800,7792,9
86,7874,7879,7874,5
87,7890,7896,7893,6
88,7951,7959,7953,8
89,7987,7996,7990,9
90,8022,8032,8025,10
91,8060,8077,8063,17
92,8101,8131,8104,30
93,8166,8173,8168,7
94,8194,8202,8196,8
95,8318,8326,8321,8
96,8381,8390,8384,9
97,8455,8465,8457,10
98,8511,8520,8513,9
99,8569,8591,8572,22
100,8685,8691,8687,6
101,8701,8704,8701,3
102,8728,8733,8728,5
103,8749,8765,8752,16
104,8791,8804,8794,13
105,8836,8851,8838,15
106,8917,8931,8920,14
107,8948,8957,8951,9
108,8995,9005,8998,10
109,9037,9045,9039,8
110,9071,9075,9071,4
111,9147,9156,9150,9
112,9194,9206,9195,12
113,9225,9231,9228,6
114,9283,9286,9283,3
115,9376,9382,9379,6
116,9407,9414,9410,7
117,9450,9452,9450,2
118,9499,9514,9499,15
119,9568,9575,9571,7
120,9582,9589,9585,7
121,9622,9626,9622,4
122,9713,9719,9715,6
123,9733,9740,9735,7
124,9783,9798,9784,15
125,9830,9845,9830,15
126,9880,9898,9880,18
127,9955,9963,9955,8
128,9969,9973,9970,4
129,10099,10111,10101,12
130,10204,10210,10204,6
131,10266,10286,10269,20
132,10307,10314,10309,7
133,10382,10389,10383,7
134,10428,10433,10428,5
135,10494,10499,10494,5
136,10513,10526,10513,13
137,10590,10596,10592,6
138,10644,10650,10646,6
139,10700,10709,10701,9
140,10717,10721,10717,4
141,10756,10761,10758,5
142,10780,10784,10780,4
143,10788,10794,10791,6
144,10897,10901,10898,4
145,10947,10949,10947,2
146,11008,11014,11011,6
147,11066,11073,11069,7
148,11113,11123,11115,10
149,11249,11255,11252,6
150,11267,11271,11267,4
151,11386,11401,11388,15
152,11402,11405,11402,3
153,11440,11458,11440,18
154,11480,11485,11482,5
155,11533,11541,11536,8
156,11576,11581,11578,5
157,11625,11630,11628,5
158,11698,11724,11700,26
159,11745,11750,11746,5
160,11835,11840,11836,5
161,11872,11883,11872,11
162,11958,11988,11958,30
163,12047,12053,12049,6
164,12197,12205,12197,8
165,12228,12235,12231,7
166,12285,12289,12285,4
167,12326,12330,12326,4
168,12386,12391,12386,5
169,12452,12462,12452,10
170,12499,12506,12501,7
171,12560,12563,12560,3
172,12573,12579,12573,6
173,12629,12638,12631,9
174,12690,12695,12690,5
175,12716,12720,12716,4
176,12728,12736,12731,8
177,12742,12746,12743,4
178,12784,12793,12786,9
179,12800,12820,12802,20
180,12867,12871,12867,4
181,12888,12893,12888,5
182,12915,12923,12918,8
183,12943,12952,12945,9
184,13035,13057,13038,22
185,13199,13207,13201,8
186,13292,13301,13294,9
187,13397,13403,13400,6
188,13410,13416,13412,6
189,13427,13432,13430,5
190,13496,13504,13498,8
191,13587,13590,13587,3
192,13676,13681,13678,5
193,13718,13724,13721,6
194,13736,13738,13736,2
195,13750,13755,13752,5
196,13813,13821,13814,8
197,13864,13874,13864,10
198,13919,13930,13921,11
199,13971,13985,13971,14
200,14000,14006,14002,6
201,14071,14082,14074,11
202,14299,14356,14299,57
203,14357,14363,14357,6
204,14380,14385,14382,5
205,14684,14697,14684,13
206,14907,14911,14907,4
207,15034,15042,15036,8
208,15094,15098,15094,4
209,15104,15108,15104,4
210,15183,15191,15186,8
211,15254,15258,15256,4
212,15381,15391,15384,10
213,15422,15430,15424,8
214,15476,15485,15476,9
215,15533,15538,15535,5
216,15706,15720,15708,14
217,15774,15793,15777,19
218,15842,15850,15844,8
219,15979,15987,15981,8
220,16066,16075,16066,9
221,16163,16177,16164,14
222,16278,16374,16280,96
223,16431,16437,16433,6
224,16496,16506,16500,10
225,16552,16558,16555,6
226,16612,16618,16615,6
227,16654,16658,16654,4
228,16707,16714,16707,7
229,16920,16925,16922,5
230,17069,17075,17072,6
231,17094,17099,17096,5
232,17161,17167,17161,6
233,17208,17211,17209,3
234,17241,17246,17241,5
235,17308,17315,17310,7
236,17357,17364,17359,7
237,17393,17396,17393,3
238,17450,17509,17450,59
239,17510,17515,17510,5
240,17524,17527,17524,3
241,17692,17695,17692,3
242,17726,17731,17728,5
243,17790,17803,17790,13
244,17847,17851,17847,4
245,18115,18118,18115,3
246,18206,18210,18206,4
247,18246,18253,18246,7
248,18558,18578,18560,20
249,18579,18582,18579,3
250,18634,18640,18637,6
251,18658,18664,18658,6
252,18699,18705,18699,6
253,18750,18758,18752,8
254,18850,18853,18850,3
255,18942,18945,18942,3
256,19004,19010,19007,6
257,19057,19073,19057,16
258,19092,19098,19095,6
259,19132,19150,19134,18
260,19174,19180,19174,6
261,19223,19234,19223,11
262,19353,19363,19353,10
263,19437,19442,19439,5
264,19472,19475,19472,3
265,19626,19634,19626,8
266,19635,19638,19635,3
267,19675,19689,19675,14
268,19701,19707,19701,6
269,19789,19807,19789,18
270,19808,19812,19808,4
271,19856,19861,19858,5
272,19925,19931,19925,6
273,19989,19994,19990,5
274,20010,20013,20010,3
275,20061,20078,20063,17
276,20094,20097,20096,3
277,20114,20121,20114,7
278,20172,20177,20172,5
279,20201,20204,20201,3
280,20236,20243,20236,7
281,20291,20300,20291,9
282,20351,20358,20351,7
283,20418,20425,20418,7
284,20511,20519,20512,8
285,20599,20611,20600,12
286,20758,20766,20758,8
287,20856,20868,20856,12
288,20911,20917,20913,6
289,20935,20939,20935,4
290,20955,20962,20955,7
291,20990,20995,20990,5
292,21077,21086,21077,9
293,21139,21143,21139,4
294,21264,21269,21264,5
295,21323,21328,21325,5
296,21337,21343,21339,6
297,21417,21422,21417,5
298,21540,21546,21542,6
299,21610,21620,21612,10
300,21691,21701,21691,10
301,21964,21969,21964,5
302,22131,22151,22132,20
303,22255,22261,22257,6
304,22374,22378,22374,4
305,22421,22428,22421,7
306,22595,22618,22595,23
307,22632,22651,22633,19
308,22663,22667,22664,4
309,22696,22705,22696,9
310,22735,22758,22735,23
311,22772,22780,22772,8
312,22907,22917,22907,10
313,23109,23119,23111,10
314,23156,23161,23156,5
315,23219,23226,23221,7
316,23250,23257,23252,7
317,23304,23309,23304,5
318,23443,23453,23443,10
319,23463,23470,23463,7
320,23499,23502,23499,3
321,23569,23574,23571,5
322,23725,23731,23728,6
323,23821,23827,23821,6
324,23896,23903,23898,7
325,24139,24155,24139,16
326,24276,24282,24278,6
327,24344,24361,24344,17
328,24438,24444,24438,6
329,24546,24555,24548,9
330,24577,24581,24577,4
331,24847,24860,24847,13
332,25137,25141,25137,4
333,25167,25181,25167,14
334,25226,25233,25226,7
335,25282,25286,25282,4
336,25397,25399,25397,2
337,25414,25419,25416,5
338,25456,25460,25458,4
339,25476,25481,25476,5
340,25485,25490,25487,5
341,25678,25682,25678,4
342,25774,25785,25774,11
343,25851,25886,25851,35
344,25901,25905,25901,4
345,25941,25946,25941,5
346,26046,26053,26048,7
347,26166,26174,26168,8
348,26279,26282,26279,3
349,26308,26310,26308,2
350,26342,26344,26342,2
351,26440,26445,26440,5
352,26485,26493,26488,8
353,26624,26629,26626,5
354,26679,26682,26679,3
355,26687,26692,26689,5
356,26729,26735,26733,6
357,26811,26815,26813,4
358,26851,26864,26851,13
359,26912,26919,26915,7
360,27008,27015,27008,7
361,27108,27113,27110,5
362,27132,27136,27134,4
363,27194,27198,27194,4
364,27316,27322,27318,6
365,27349,27351,27349,2
366,27409,27413,27409,4
367,27440,27442,27440,2
368,27543,27547,27543,4
369,27641,27643,27641,2
370,27696,27701,27696,5
371,27813,27819,27815,6
372,27855,27860,27857,5
373,27929,27939,27932,10
374,27967,27973,27969,6
375,28060,28064,28061,4
376,28166,28171,28168,5
377,28357,28378,28357,21
378,28387,28396,28387,9
379,28474,28482,28477,8
380,28513,28517,28513,4
381,28524,28539,28526,15
382,28587,28593,28590,6
383,28609,28617,28612,8
384,28668,28684,28671,16
385,28694,28699,28696,5
386,28727,28730,28727,3
387,28770,28775,28773,5
388,28832,28839,28834,7
389,28875,28890,28875,15
390,28918,28924,28920,6
391,28939,28942,28939,3
392,28957,28959,28957,2
393,28993,28999,28996,6
394,29095,29100,29097,5
395,29192,29207,29192,15
396,29225,29232,29225,7
397,29237,29245,29240,8
398,29317,29336,29317,19
399,29383,29391,29383,8
400,29687,29690,29687,3
401,29740,29813,29740,73
402,29959,29962,29959,3
403,30067,30084,30069,17
404,30146,30158,30147,12
405,30186,30188,30186,2
406,30258,30260,30258,2
407,30318,30321,30318,3
408,30373,30391,30373,18
409,30414,30419,30416,5
410,30464,30489,30464,25
411,30495,30501,30497,6
412,30647,30667,30647,20
413,30728,30752,30731,24
414,30802,30808,30805,6
415,30834,30840,30836,6
416,30865,30869,30865,4
417,30879,30887,30881,8
418,30900,30912,30903,12
419,30956,30965,30959,9
420,30998,31028,30998,30
421,31048,31058,31048,10
422,31098,31104,31101,6
423,31219,31221,31219,2
424,31306,31311,31308,5
425,31365,31373,31365,8
426,31427,31433,31429,6
427,31504,31508,31504,4
428,31606,31611,31608,5
429,31658,31663,31660,5
430,31670,31674,31670,4
431,31731,31736,31733,5
432,31788,31793,31790,5
433,31851,31857,31853,6
434,31918,31923,31921,5
435,31967,31972,31970,5
436,31988,31993,31991,5
437,32026,32030,32026,4
438,32063,32068,32064,5
439,32145,32151,32148,6
440,32179,32186,32180,7
441,32196,32199,32196,3
442,32203,32208,32205,5
443,32253,32261,32253,8
444,32315,32322,32315,7
445,32373,32386,32374,13
446,32474,32480,32474,6
447,32491,32496,32494,5
448,32512,32517,32514,5
449,32553,32560,32555,7
450,32574,32579,32576,5
451,32619,32635,32622,16
452,32696,32702,32699,6
453,32744,32747,32744,3
454,32795,32800,32795,5
455,32858,32863,32860,5
456,32900,32906,32902,6
457,32938,32946,32940,8
458,33009,33016,33012,7
459,33053,33066,33053,13
460,33240,33249,33242,9
461,33300,33303,33300,3
462,33337,33343,33339,6
463,33502,33508,33502,6
464,33553,33561,33554,8
465,33579,33594,33579,15
466,33729,33733,33729,4
467,33882,33883,33882,1
468,33993,34037,33993,44
469,34094,34101,34096,7
470,34109,34114,34111,5
471,34143,34149,34146,6
472,34209,34215,34212,6
473,34218,34225,34221,7
474,34279,34281,34279,2
475,34375,34385,34376,10
476,34392,34395,34392,3
477,34428,34435,34430,7
478,34526,34532,34528,6
479,34617,34636,34619,19
480,34684,34692,34687,8
481,34746,34752,34749,6
482,34786,34790,34788,4
483,34803,34825,34803,22
484,34826,34830,34826,4
485,34876,34882,34879,6
486,34909,34949,34909,40
487,35015,35020,35017,5
488,35096,35102,35099,6
489,35139,35146,35142,7
490,35267,35281,35267,14
491,35292,35298,35294,6
492,35318,35338,35318,20
493,35363,35369,35366,6
494,35404,35409,35407,5
495,35424,35428,35426,4
496,35443,35447,35443,4
497,35506,35512,35508,6
498,35637,35646,35640,9
499,35727,35729,35727,2
500,35768,35772,35768,4
501,35837,35850,35840,13
502,35955,35959,35955,4
503,35968,35974,35970,6
504,36026,36030,36027,4
505,36104,36108,36104,4
506,36303,36306,36303,3
507,36389,36394,36391,5
