,Start_blink,End_blink,Blink_frame,No_of_frames
0,157,163,158,6
1,266,270,268,4
2,399,402,400,3
3,516,520,517,4
4,610,613,611,3
5,749,755,749,6
6,838,844,839,6
7,964,966,964,2
8,1034,1036,1035,2
9,1071,1072,1071,1
10,1151,1155,1152,4
11,1297,1300,1297,3
12,1491,1494,1492,3
13,1550,1554,1551,4
14,1661,1664,1662,3
15,1745,1747,1746,2
16,1800,1802,1801,2
17,1872,1875,1874,3
18,1894,1897,1895,3
19,1999,2001,2000,2
20,2025,2027,2026,2
21,2096,2100,2099,4
22,2245,2248,2246,3
23,2386,2389,2387,3
24,2440,2444,2441,4
25,2463,2464,2463,1
26,2567,2569,2568,2
27,2656,2659,2658,3
28,2703,2705,2704,2
29,2798,2799,2798,1
30,2851,2856,2854,5
31,2865,2868,2865,3
32,2910,2914,2910,4
33,3058,3059,3058,1
34,3079,3081,3080,2
35,3240,3243,3241,3
36,3290,3293,3290,3
37,3313,3315,3314,2
38,3446,3449,3446,3
39,3494,3496,3495,2
40,3686,3687,3686,1
41,3843,3845,3844,2
42,3961,3965,3962,4
43,4131,4135,4131,4
44,4249,4253,4249,4
45,4569,4570,4569,1
46,4707,4711,4708,4
47,4814,4816,4814,2
48,4872,4874,4872,2
49,4916,4922,4917,6
50,5048,5053,5050,5
51,5208,5212,5210,4
52,5350,5357,5351,7
53,5451,5453,5451,2
54,5555,5558,5556,3
55,5606,5608,5607,2
56,5627,5633,5628,6
57,5727,5730,5729,3
58,5817,5821,5818,4
59,5928,5932,5930,4
60,6041,6045,6043,4
61,6167,6170,6168,3
62,6226,6228,6227,2
63,6260,6261,6260,1
64,6358,6361,6359,3
65,6504,6508,6505,4
66,6539,6543,6541,4
67,6646,6649,6647,3
68,6772,6775,6772,3
69,6812,6813,6812,1
70,6843,6846,6844,3
71,6881,6889,6883,8
72,7027,7030,7027,3
73,7164,7167,7165,3
74,7309,7313,7310,4
75,7488,7490,7489,2
76,7575,7577,7576,2
77,7654,7659,7656,5
78,7723,7727,7724,4
79,7818,7819,7818,1
80,7875,7879,7876,4
81,7932,7935,7933,3
82,7964,7966,7965,2
83,8145,8148,8146,3
84,8182,8184,8183,2
85,8285,8289,8286,4
86,8314,8317,8315,3
87,8375,8380,8379,5
88,8420,8424,8423,4
89,8506,8508,8507,2
90,8557,8560,8559,3
91,8774,8775,8774,1
92,8989,8991,8990,2
93,9036,9039,9037,3
94,9206,9208,9207,2
95,9368,9373,9369,5
96,9408,9412,9408,4
97,9464,9467,9466,3
98,9525,9528,9526,3
99,9742,9746,9744,4
100,10665,10668,10665,3
101,10722,10725,10723,3
102,10931,10934,10932,3
103,11060,11061,11060,1
104,11227,11229,11228,2
105,11309,11313,11310,4
106,11438,11441,11439,3
107,11538,11539,11538,1
108,11711,11712,11711,1
109,11726,11730,11728,4
110,11762,11763,11762,1
111,11827,11828,11827,1
112,11966,11969,11968,3
113,12262,12265,12263,3
114,12404,12407,12405,3
115,12666,12668,12667,2
116,13198,13200,13198,2
117,13295,13300,13296,5
118,13353,13356,13355,3
119,13400,13406,13401,6
120,13489,13491,13489,2
121,13594,13596,13594,2
122,13685,13687,13686,2
123,13748,13750,13749,2
124,13850,13852,13851,2
125,14208,14211,14209,3
126,14313,14316,14314,3
127,14557,14559,14558,2
128,14703,14706,14704,3
129,14853,14856,14854,3
130,14985,14988,14986,3
131,15127,15130,15128,3
132,15357,15359,15357,2
133,15611,15613,15612,2
134,15697,15701,15698,4
135,15873,15877,15875,4
136,16206,16207,16206,1
137,16328,16331,16329,3
138,16395,16398,16396,3
139,16586,16590,16588,4
140,16707,16710,16707,3
141,16820,16824,16821,4
142,16837,16838,16837,1
143,16931,16933,16932,2
144,17066,17068,17066,2
145,17122,17125,17123,3
146,17309,17310,17309,1
147,17446,17448,17446,2
148,17517,17520,17518,3
149,17544,17546,17544,2
150,17555,17556,17555,1
151,17626,17630,17628,4
152,17691,17692,17691,1
153,17703,17704,17703,1
154,17761,17764,17763,3
155,17777,17779,17778,2
156,17913,17915,17914,2
157,17988,17991,17989,3
158,18078,18080,18079,2
159,18115,18117,18115,2
160,18422,18424,18423,2
161,18457,18459,18458,2
162,18539,18542,18540,3
163,18658,18661,18660,3
164,18889,18893,18890,4
165,18992,18995,18994,3
166,19029,19031,19029,2
167,19100,19102,19101,2
168,19113,19119,19114,6
169,19204,19207,19205,3
170,19315,19318,19316,3
171,19463,19466,19464,3
172,19473,19474,19473,1
173,19570,19573,19571,3
174,19652,19656,19654,4
175,19760,19763,19761,3
176,19792,19796,19793,4
177,19935,19939,19937,4
178,19990,19993,19992,3
179,20083,20087,20085,4
180,20142,20145,20143,3
181,20198,20203,20199,5
182,20420,20423,20420,3
183,20548,20551,20549,3
184,20638,20640,20639,2
185,20732,20734,20733,2
186,20742,20745,20743,3
187,20753,20758,20754,5
188,20784,20786,20785,2
189,20818,20821,20819,3
190,20829,20834,20833,5
191,20903,20905,20904,2
192,20942,20944,20943,2
193,20990,20992,20991,2
194,21013,21016,21014,3
195,21060,21066,21063,6
196,21084,21086,21085,2
197,21188,21192,21189,4
198,21228,21233,21229,5
199,21375,21378,21375,3
200,21506,21512,21510,6
201,21692,21697,21693,5
202,21756,21760,21758,4
203,21846,21849,21847,3
204,21949,21952,21951,3
205,22155,22159,22156,4
206,22261,22263,22262,2
207,22318,22320,22319,2
208,22347,22348,22347,1
209,22778,22781,22779,3
210,23239,23242,23240,3
211,23344,23347,23345,3
212,23407,23409,23408,2
213,23475,23478,23476,3
214,23614,23617,23616,3
215,23721,23724,23722,3
216,23743,23746,23744,3
217,24083,24086,24085,3
218,24117,24121,24119,4
219,24275,24281,24277,6
220,24524,24525,24524,1
221,24542,24543,24542,1
222,24710,24713,24711,3
223,25068,25071,25068,3
224,25185,25188,25186,3
225,25353,25355,25354,2
226,25420,25425,25423,5
227,25530,25533,25531,3
228,25680,25682,25681,2
229,25871,25873,25872,2
230,25973,25976,25974,3
231,26056,26059,26057,3
232,26267,26268,26267,1
233,26497,26501,26499,4
234,26562,26563,26562,1
235,26612,26614,26613,2
236,26731,26736,26732,5
237,26904,26909,26906,5
238,26961,26964,26962,3
